Num.0.0	¶ The fourth boke of Moses called in the Hebrue, Uaiedabber and in the Latyn Numeri.
Num.24.7	The water droppeth out of his bouket, and hys seed shal be many waters and hys kinge shalbe hyer then Agag, And hys kyngdome shalbe exalted.
Num.24.8	God broughte hym out of Egypt: as the strength of an vnycorne is he vnto hym. He shall eate the nacyons hys enemyes, and gnawe theyr bones, Ꟶ perce them thorowe with his arowes.
Num.24.9	He couched hym selfe, and laye doune as a lyon, and as a lyonesse, who shall sterre hym vp? blessed is he that blesseth the, Ꟶ cursed is he that curseth the.
Num.24.10	And Balac was wroth wyth Balaam, and smote hys handes together, and Balac sayde vnto Balaam: I sent for the to curse myne enemyes, and beholde, thou hast blessed them this thre tymes.
Num.24.11	Therfore nowe gett the quyckly vnto thy place. I thought that I wolde promote the vnto honoure, but lo, the Lorde hath kept the backe from worshype
Num.24.12	Balaam answered vnto Balac: tolde I not thy messengers which thou sentest vnto me, sayinge:
Num.24.13	If Balac wolde geue me his house full of syluer and golde, I cannot passe the worde of the Lorde, to do ether good or bad of myne awne mynde? But what the Lorde sayeth, that am I compelled to speake.
Num.24.14	And nowe beholde, I go vnto my people: come therfore, and I wyll aduertise the, what this people shal do to thy folke in the later dayes.
Num.24.15	And he toke vp hys parable and sayde: Balaam the sonne of Beor hath sayde, the man whose eye is open, hath sayde.
Num.24.16	He hath sayde that heareth the wordes of God, and hath the knowledge of the most hye, and beholdeth the visyon of the almyghtie, and that falleth with open eyes:
Num.24.17	I shall se hym, but not nowe I shall beholde him, but not nye. There shall come a starre of Iacob, and ryse a sceptre of Israel, and shal smyte the costes of Moab Ꟶ vndermyne all the chyldren of Seth.
Num.24.18	And Edom shalbe possessed, and Seir shall fall to the possessyon of theyr enemyes, and Israel shall do manfully.
Num.24.19	Out of Iacob shall come he that shal haue dominion, and shall destroye the remnaunt of the cytie.
Num.24.20	And whan he loked on Amaleck, he toke vp his parable, Ꟶ sayde: Amaleck is the fyrst of the nacynos but hys latter ende shall perysh vtterly.
Num.24.21	And he loked on the Kenytes and toke vp hys parable, and sayde: stronge is thy dwellynge place, and thou puttest thy nest in a rocke,
Num.24.22	Neuerthelesse the kenyte shalbe roted out, vntyll Assur take the presoner:
Num.24.23	And he toke vp his parable and sayd: Alas, Who shall lyue when God doeth thys?
Num.24.24	The shyppes also shall come out of the coste of Italy, and subdue Assur, Ꟶ subdue Eber, and he hym selfe shall perishe at the last.
Num.24.25	And Balaam rose vp, and went and returned to hys place: and Balac also went hys waye.
Num.25.1	And Israel dwelt in Sittim, and the people began to committe whoredome with the daughters of Moab,
Num.25.2	which called the people vnto the sacryfyce of theyr goddes. And the people dyd eate, and worshypped theyr goddes,
Num.25.3	Ꟶ Israel coupled him selfe vnto Baal Peor. And the indignacyon of the Lorde was prouoked agaynst Israel,
Num.25.4	and the Lorde sayde vnto Moses: take all the heades of the people, Ꟶ hange them vp before the Lorde agaynst the sonne, that the wrath of the Lordes countenaunce maye be tourned awaye from Israel.
Num.25.5	And Moses sayd vnto the iudges of Israel euery one slaye hys men that were ioyned vnto Baal Peor.
Num.25.6	And beholde, one of the chyldren of Israel came and broughte vnto his brethren, a Madianitish wyfe euen in the syghte of Moses, and in the sight of all the multitude of the children of Israel, that wepte before the dore of the tabernacle of witnesse.
Num.25.7	And when Phinehes the sonne of Eleazar the sonne of Aaron the preaste sawe it, he rose vp oute of the myddes of the companie, and toke a weapon in hys hande,
Num.25.8	and went after the man of Israel into the tent, and thrust them thorowe: both the man of Israel and also the woman, euen thorowe the belly of her. And the plage ceased from the chyldren of Israel.
Num.25.9	And there dyed in the plage .xxiiii. thousande.
Num.25.10	And the Lorde spake vnto Moses saying:
Num.25.11	Phinehes the sonne of Eleazar the sonne of Aaron the preaste, hath tourned myne anger awaye from the chyldren of Israel, whyle he was gelous for my sake amonge them, that I had not consumed the chyldren of Israel in my gelousye.
Num.25.12	Wherfore saye: beholde, I geue vnto him my couenaunt of peace,
Num.25.13	and he shall haue it, Ꟶ his seed after him, euen the couenaunte of the preastes offyce for euer because he was gelous for his Goddes sake, and made an attonement for the chyldren of Israel.
Num.25.14	The name of the Israelite whych was slayne with the Madianytyshe wyfe was zamri the sonne of Salu, a Lorde of an house and kynred of Symeon.
Num.25.15	And the name of the Madianitish wyfe that was slayne, was Cozbi the daughter of zur, a heed ouer the people of an house and kynred of Madian.
Num.25.16	And the Lord spake vnto Moses, saying:
Num.25.17	vexe the Madianites, and smyte them,
Num.25.18	for they trouble you with theyr wyles, whyche haue begyled you by disceate in the cause of Peor, and in the cause of theyr syster Cozbi the daughter of a Lorde of the Madianites, which was slayne in the daye of the plage for Peor sake.
Num.26.1	And it fortuned, that after the plage, the Lorde spake vnto Moses Ꟶ vnto Eleazar the sonne of Aaron the preste, sayinge:
Num.26.2	take the nomber of all the multytude of the chyldren of Israel from .xx. yeare and aboue thorowe out theyr fathers houses, all that are able to goo to warre in Israel.
Num.26.3	And Moses and Eleazar the preast spake vnto them in the feldes of Moab, by Iordane ouer agaynst Iericho,
Num.26.4	from .xx. yeare and aboue, as the Lorde commaunded Moses Ꟶ the chyldren of Israel, whan they were come oute of Egypte.
Num.26.5	Ruben the eldest sonne of Israel. The chyldren of Ruben: Hanoch, of whome commeth the kynred of the Hanochites: and Palu of whom commeth the kynred of the Paluites.
Num.26.6	Of Hesron, commeth the kynred of the Hesronites: of Carmi, commeth the kynred of the Carmites.
Num.26.7	These are the kynredes of the Rubenites, and they were in nombre .xliii. thousande seuen hundred Ꟶ thyrtye.
Num.26.8	And the sonnes of Palu: Eliab.
Num.26.9	And the soonnes of Eliab Nemuel, Dathan and Abiram. Thys is that Dathan and Abiram, which were famous in the congregacyon, Ꟶ stroue agaynst Moses and Aaron in the companye of Corah, when they stroue agaynst the Lorde.
Num.26.10	And the erth opened her mouth, and swalowed them vp. Corah also was in the death of that multitude, what tyme the fyre consumed two hundred and fyfty men, and they became a sygne:
Num.26.11	Notwithstonding, the chyldren of Corah dyed not.
Num.26.12	And the chyldren of Symeon after theyr kynredes were: Nemuel, of whom commeth the kynred of the Nemuelites: Iamin, of whom commeth the kynred of the Iaminytes: Iachin, of whom commeth the kynred of the Iachinites:
Num.26.13	of zareh, commeth the kynred of the zarehites. And of Saul, commeth the kynred of the Saulites.
Num.26.14	These are the kynredes of Simeon: euen .xxii. thousande Ꟶ .ii. hundred
Num.26.15	The chyldren of Gad after theyr kynredes were: zephon, of whom commeth the kynred of the zephonites: Haggi, of whom commeth the kynred of the Haggites: Suni of whom commeth the kynred of the Sunites:
Num.26.16	Of Aseni, commeth the kynred of the Asenites: and of Eri, commeth the kynred of the Erites:
Num.26.17	Of Arod, commeth the kynred of the Arodites. Of Ariel, commeth kynred of the Arielites.
Num.26.18	These are the kynredes of the chyldren of Gad according to their nombres .xl. thousande and fyue hundred.
Num.26.19	The children of Iuda: Er and Onan Ꟶ Er and Onan dyed in the lande of Canaan.
Num.26.20	But the chyldren of Iuda after theyr kynredes, were: Sela, of whom commeth the kynred of the Selanites: Phares, of whom commeth the kynred of the Pharesites: zareh, of whom commeth the kynred of the zarehites.
Num.26.21	And the chyldren of Phares were: Hesron, of whom commeth the kynred of the Hesronites: Hamul, of whom commeth the kynred of the Hamulites.
Num.26.22	These are the kynredes of Iuda, after theyr nombres .lxxvi. thousand and fyue hundred.
Num.26.23	The chyldren of Isachar after theyr kynredes, were: Thola, of whom commeth the kynred of the Tholaites: Phuua, of whom commeth the kynred of the Phuuaites:
Num.26.24	of Iasub commeth the kynred of the Iasubytes, of Symron, commeth the kynred of the Simronites.
Num.26.25	These are the kynredes of Isachar after theyr nombres .lxiiii. thousande, and thre hundred.
Num.26.26	The chyldren of zabulon after theyr kynredes were: Sered, of whom commeth the kynred of the Seredites: Elon, of whom commeth the kynred of the Elonites: Iaheliel, of whom commeth the kynred of the Iahelelites.
Num.26.27	These are the kynredes of the zabulonites after theyr nombres: threscore thousande, and fyue hundred.
Num.26.28	The chyldren of Ioseph thorow out their kynredes were: Manasse Ꟶ Ephraim.
Num.26.29	The chyldren of Manasse: Machir, of whom commeth the kynred of the Machirites. And Machir begat Gilead, and of Gilead commeth the kynred of the Gileadites.
Num.26.30	And these are the chyldren of Gilead: Hieser, of whom commeth the kynred of the Hieserites: Helech, of whom commeth the kynred of the Helechites:
Num.26.31	and Asriel, of whom commeth the kynred of the Asrielites: and Sichem, of whom commeth the kynred of the Sichemites:
Num.26.32	Simida, of whom commeth the kynred of the Simidites: and Hepher, of whom commeth the kynred of the Hepherites.
Num.26.33	And zelaphead the sonne of Hepher had no sonnes but daughters. And the names of the daughters of zelaphead were: Mahela, Noa, Hagla, Milcha and Thirza.
Num.26.34	These are the kynredes of Manasse, and the nombre of them .lii. thousande and seuen hundred.
Num.26.35	These are the chyldren of Ephraim after theyr kynredes: Suthelah, of whom commeth the kynred of the Suthelahites: Becher, of whom commeth the kynred of the Becherites: Thahen, of whom commeth the kynred of the Thahenites.
Num.26.36	And these are the chyldren of Suthelah: Eran, of whom commeth the kynred of the Eranites.
Num.26.37	These are the kynredes of the chyldren of Ephraim after theyr nombres .xxxii. thousande and fyue hundred. And these are the chyldren of Ioseph after theyr kynredes.
Num.26.38	These are the chyldren of BenIamin after their kynredes: Bela, of whom commeth the kynred of the Belaites: Asbel, of whom commeth the kynred of the Asbelites: Ahiram, of whom commeth the kynred of the Ahiramites:
Num.26.39	Supham, of whom commeth the kynred of the Suphamites: Hupham, of whom commeth the kynred of the Huphamites.
Num.26.40	And the chyldren of Bela were, Ard and Naaman, from whence commeth the kynred of the Ardites, and of Naaman the kynred of the Naamites.
Num.26.41	These are the chyldren of BenIamin after theyr kynredes, and after theyr nombres .xlv. thousande and syxe hundred.
Num.26.42	These are the chyldren of Dan after their kynredes: Suham, of whom commeth the kynred of the Suhamites. These are the housholdes of Dan after their kynredes.
Num.26.43	And the kynredes of the Suhamites were after theyr nombres .lxiiii. thousande, Ꟶ foure hundred.
Num.26.44	The chyldren of Aser after theyr kynredes were: Iemna, of whom commeth the kynred of the Iemnites. Iesui, of whom commeth the kynred of the Iesuites: Bria, of whom commeth the kynred of the Brites.
Num.26.45	The chyldren of Bria were: Heber, of whom commeth the kynred of the Heberites: Malchiel, of whom came the kynred of the Malchielites.
Num.26.46	And the daughter of Aser was called Sarah.
Num.26.47	These are the kynredes of Aser after their nombres .liii. thousande and foure hundred.
Num.26.48	The chyldren of Nephthali, after theyr kynredes were: Iaheziel, of whom came the kynred of the Iahezielites: Guni, of whom came the kynred of the Gunites:
Num.26.49	Iezer, of whom came the kynred of the Iezerites: Selem, of whom came the kynred of the Selemites.
Num.26.50	These are the kynredes of Nephthali according to theyr housholdes, whose nombre is .xlv. thousande and foure hundred
Num.26.51	These are the nombres of the chyldren of Israel: syxe hundred thousande, and a thousand, seuen hundred and thyrtye.
Num.26.52	And the Lorde spake vnto Moses, saying:
Num.26.53	vnto these the lande shalbe deuyded to enheret, accordyng to the nombre of names.
