Ezek.0.0	¶ The booke of the Prophete Ezechiel.
Ezek.33.32	And as a balet that hath a swete tune, and is pleasaunt to synge, so shalt thou be vnto them: thy wordes shal they heare, but they will not do therafter.
Ezek.33.33	Whan this commeth to passe (for lo, it commeth in dede) then shall they knowe, that there hath bene a prophet amonge them.
Ezek.34.1	And the worde of the Lorde came vnto me, sayinge.
Ezek.34.2	Thou sonne of man, prophecye agaynst the shepherdes of Israel, prophecy and speake vnto them. Thus sayeth the Lord God. Wo be vnto the shepherdes of Israell, that fede them selues. Shulde not the shepherdes fede the flockes?
Ezek.34.3	Ye haue eaten vp the fatt, ye haue clothed you with the woll: the best fedde haue ye slayne, but the flocke haue ye not norished.
Ezek.34.4	The weake haue ye not holden vp the sicke haue ye not healed: the broken haue ye not bounde together, the out castes haue ye not brought agayne: the lost haue ye not sought, but churlishly Ꟶ cruelly haue ye ruled them.
Ezek.34.5	Thus are they scatred here Ꟶ there without a shepherde: yee, all the beastes of the feld deuoure them, and they go astraye.
Ezek.34.6	My shepe go wandring vpon all mountaynes and vpon euery hye hyll. Yee, they be scatred abrode in all feldes, and there is no man, that careth for them, or seketh after them.
Ezek.34.7	Therfore, O ye shepherdes, heare the worde of the Lorde.
Ezek.34.8	Thus sayeth the Lord God: As truly as I lyue, for so moch as my shepe are robbed, and deuoured of all the wylde beastes of the felde, hauynge no shepherde: and seinge that my shepherdes take no regarde of my shepe, but fede them selues onely, and not my shepe.
Ezek.34.9	Therfore, heare the worde of the Lord (O ye shepherdes)
Ezek.34.10	Thus sayeth the Lord God: Beholde, I my selfe wyll vpon the shepherdes: and require my shepe from their handes, and make them ceasse from fedynge of my shepe: yee, the shepherdes shall fede them selues nomore. For I wyll deliuer my shepe out of their mouthes, so that they shall not deuoure them after this.
Ezek.34.11	For thus sayeth the Lorde God: Beholde, I wyll loke to my shepe my selfe, and seke them.
Ezek.34.12	Like as a shepherde among the flocke seketh after the shepe that are scatered abroade, euen so wil I seke after my shepe, Ꟶ gather them together out of all places, where they haue bene scatred in the cloudy and darcke daye.
Ezek.34.13	I will bringe them out from all people, and gather them together out of all landes. I will bringe them into their awne lande, and fede them vpon the mountaines of Israel, by the ryuers, and in all the places of the countre.
Ezek.34.14	I will fede them in ryght good pastures and vpon the hie mountaynes of Israel shall there foldes be. There shal they lye in a good folde, and in a fat pasture shal they fede: euen vpon the mountaynes of Israell.
Ezek.34.15	I will fede my shepe my selfe, and bringe them to their rest, sayeth the Lorde God.
Ezek.34.16	Soch as be lost, will I seke: soch as go astraye: will I bring agayne: soch as be wounded, will I bynde vp: soch as be weake, will I make strong: soch as be fat Ꟶ stronge, those will I rote oute, and fede them with the thing that is laufull.
Ezek.34.17	And as for you (O my shepe) sayeth the Lorde God. I wyll put a difference amonge the shepe, among the wethers Ꟶ the goates.
Ezek.34.18	Was it not ynough for you, to eate vp the good pasture, but ye must treade downe the residue of youre pasture wt your fete also? Was it not ynough for you to drincke cleare water, but ye must trouble the residue also with youre fete?
Ezek.34.19	Thus my shepe must be fayne to eate the thinge, that ye haue troden downe wt youre fete, and to drincke it, that ye with your fete haue defiled.
Ezek.34.20	Therfore, thus sayeth the Lord God vnto them: Beholde, I wyll seuer the fatt shepe from the leane:
Ezek.34.21	for so moch as ye haue shot the weake shepe vpon the sydes Ꟶ shoulders, and runne vpon them with your hornes, so longe tyll ye haue vtterly scatred them abrode.
Ezek.34.22	I will helpe my shepe, so that they shal nomore be spoyled: yee, I will discerne one shepe from another.
Ezek.34.23	I wyll rayse vp vnto them one onely shepherde, euen my seruaunt Dauid, he shall fede them and he shall be their shepherde.
Ezek.34.24	I the Lorde will be their God, and my seruaunt Dauid shall be their prince: Euen I the Lorde haue spoken it.
Ezek.34.25	Moreouer, I wyll make a couenaunt of peace with them and dryue al euell beastes out of the lande: so that they maye dwell safely in the wildernesse, and slepe in the woddes.
Ezek.34.26	Good fortune and prosperite will I geue them, and vnto all that be rounde aboute my hyll. A prosperous shower and rayne will I sende them in due season,
Ezek.34.27	that the trees in the wodde maye bring forth their frutes and the grounde her increase. They shalbe safe in their lande, and shall knowe, that I am the Lord, which haue broken their yock and deliuered them oute of the handes of those, that helde them in subieccyon.
Ezek.34.28	They shal nomore be spoyled of the Heathen, ner deuoured wyth the beastes of the lande: but safely shal they dwell, and no man shall fraye them,
Ezek.34.29	I will set vp an excellent plante for them, so that they shall suffre nomore hunger in the lande, nether beare the reprofe of the Heathen eny more.
Ezek.34.30	Thus shall they vnderstande, that I the Lorde theyr God am with them, and that they (euen the house of Israel) are my people saieth the Lorde God.
Ezek.34.31	Ye men are my flocke ye are the shepe of my pasture: and I am youre God, sayeth the Lorde God.
Ezek.35.1	Moreouer, the worde of the Lorde came vnto me, saying.
Ezek.35.2	Thou sonne of man, turne thy face towarde the mount Seyr, prophecye vpon it,
Ezek.35.3	Ꟶ saye vnto it. Thus sayeth the Lord God: Beholde (O thou mount Seyr) I wyll vpon the, I wyll reach out myne hande ouer the, yee, waste and desolate wil I make the.
Ezek.35.4	Thy cities will I breake downe, and thou shalt lye voyde: that thou mayst knowe, how that I am the Lorde.
Ezek.35.5	For so moch as thou bearest an olde enemyte agaynst the chyldren of Israel, and hast drawne the chylderne of Israell vpon the swerde, what tyme as they were troubled and punished for their synne:
Ezek.35.6	Therfore, as truly as I lyue, sayeth the Lord God, I will prepare the vnto bloude, yee, bloude shall folow vpon the: seinge thou layest wayte for bloude, therfore shall bloude persecute the.
Ezek.35.7	Thus will I make the mount Seir desolate and waste, and bringe to passe, that there shall no man goo thyther, ner come from thence.
Ezek.35.8	His mountaynes will I fyll with his slayne men: thy hilles, valleys and ryuers, shall lye full of them, that are slayne with the swearde.
Ezek.35.9	I will make the a perpetuall wildernesse, so that thy cityes shall not returne to their former estate that ye maye knowe, how that I am the Lorde.
Ezek.35.10	And because thou hast sayde: what, both these nacions and both these landes must be myne, Ꟶ I will haue them in possession where as the Lorde was there. Therfore, thus sayeth the Lord God:
Ezek.35.11	As truly as I lyue, I will handle the accordinge to thy wrath and gelousy, lyke as thou hast dealt cruelly wt them, that I maye be knowen among them, how I haue punished the.
Ezek.35.12	Yee, and that thou also mayest be sure, that I the Lorde haue herde al thy despyteful wordes, which thou hast spoken agaynst the mountaynes of Israell, sayinge: Lo, they are made waste, and geuen vs to deuoure.
Ezek.35.13	Thus with your mouthes ye haue made youre boast agaynst me, yee, and multiplied your proude wordes agaynst me, which I haue herde altogether.
Ezek.35.14	Where vnto, thus sayeth the Lord God: to the ioye of all the worlde will I make the waste.
Ezek.35.15	And lyke as thou (O mount Seyr) wast glad, because the heritage of the house of Israel was destroyed: euen so wyll I do vnto the also, that thou and whole Edom shal be destroyed, Ꟶ knowe, that I am the Lorde.
Ezek.36.1	Thou sonne of man, prophecye vpon the mountaynes of Israell, and speake: Heare the worde of the Lorde, O ye mountaynes of Israel.
Ezek.36.2	Thus sayeth the Lord God. Because your enemye hath sayde vpon you: A, ha, the hye euerlastynge places are now become ours,
Ezek.36.3	prophecy therfore, Ꟶ speake: thus sayeth the Lord God. Seynge ye be wasted and trode downe on euery syde, and become a possession vnto the residue of the Gentiles, which haue brought you into mens mouthes and vnto an euell name amonge the people.
Ezek.36.4	Therfore, heare the worde of the Lord God, O ye mountaynes of Israell. Thus sayeth the Lord God vnto the mountaynes and hilles, valleys and dales, to the voyde wyldernesse and desolate cityes, which are spoyled, Ꟶ had in derision on euery syde, amonge the residue of the Heathen.
Ezek.36.5	Yee, euen thus sayeth the Lord God. In the fyre of my gelousy haue I taken a deuyce, agaynst the residue of the Gentiles, Ꟶ agaynst all Edom: which haue taken in my lande vnto them selues for a possession: which also reioysed from their whole hert with a despitefull stomacke, to waste it, and to spoyle it.
Ezek.36.6	Prophecy therfore vpon the lande of Israell, speake vnto the mountaynes Ꟶ hilles to valleys and dales, thus sayeth the Lord God. Behold, this haue I deuised in my gelousy Ꟶ terrible wrath. For so moche as ye haue suffred reprofe of the Heathen,
Ezek.36.7	therfore thus saieth the Lord God. I haue sworne, that the Gentiles which lye aboute you, shal beare their confusion them selues.
Ezek.36.8	And as for you (O mountaynes of Israel) ye shall shute out your braunches, and bringe forth your frute to my people of Israell, for it is hard by, that it will come.
Ezek.36.9	Beholde, I come vnto you, and vnto you wyll I turne me, that ye maye be tylled and sowne.
Ezek.36.10	I wyll sende you moch people, which shalbe all of the house of Israell, the cityes shalbe inhabited, Ꟶ the decayed places shalbe repaired agayne,
Ezek.36.11	I wil prouide you with moch people and catell, which shal increase and bringe frute, I wyll restore you also to your olde estate Ꟶ shewe you more kyndnes then euer ye had before: wherby ye shal knowe, that I am the Lord.
Ezek.36.12	Yee, people wyll I send vnto you (O my folke of Israel) which shall haue the in possession, and thou shalt be their inheritaunce, so that thou shalt nomore be without them.
Ezek.36.13	Agayne, thus sayeth the Lorde God. For so moch as they saye vnto you, thou art an eater vp of men, and a waster of thy people:
Ezek.36.14	therfore thou shalt eate no mo men, nether destroye thy people eny more, sayeth the Lord God.
Ezek.36.15	And I will not suffre the, for to heare thine awne confusion amonge the Gentiles from hensforth. Thou shalt not beare the reprofe of the nacions, ner cast out thyne awne people eny more, saieth the Lord God.
Ezek.36.16	Moreouer, the worde of the Lorde came vnto me, saying.
Ezek.36.17	O thou sonne of man, when the house of Israell dwelt vpon their awne grounde, they defiled them selues wt their awne wayes Ꟶ ymaginacions: so that in my sight their waye was lyke the vnclennesse of a menstruous woman.
Ezek.36.18	Wherfore, I poured my wrothfull displeasure vpon them, because of the bloude that they had shed in the lande, Ꟶ because of their Idols, wherwith they had defiled them selues.
Ezek.36.19	I scatred them also amonge the Heathen, so that they were strawed aboute in the landes. Accordinge to their wayes Ꟶ after theyr awne inuencyons, so dyd I punishe them.
Ezek.36.20	Now, when they were gone vnto the Heathen, Ꟶ come in amonge them, they dishonoured my holy name: so that it was sayde of them. Are these the people of God, Ꟶ must go out of their awne land?
Ezek.36.21	Then spared I my holy name, which the house of Israel had dishonoured amonge the Gentiles, to whom they came.
Ezek.36.22	Therfore tell the house of Israel: Thus sayeth the Lord God: I do not this for your sakes (O house of Israell) but for my holy names sake, whych ye dishonoured amonge the Heathen, when ye came to them.
Ezek.36.23	Therfore, I wyll halowe my greate name agayne, which amonge the Gentiles is euell spoken of: for ye your selues haue dishonoured it amonge them. And the Gentiles shal knowe that I am the Lord, whan I am honoured in you before their eyes, sayeth the Lorde God.
Ezek.36.24	As for you, I will take you from amonge the Heathen, and gather you together out of all countres, and brynge you agayne into your awne lande.
Ezek.36.25	Then will I poure cleare water vpon you, and ye shalbe clene: yee, from all your vnclennesse and from all your Idols shall I clense you.
Ezek.36.26	A new herte also will I geue you, and a new sprete will I put into you. As for that stony herte, I will take it out of youre body, Ꟶ geue you a fleshly herte.
