Gen.0.0	¶ The fyrst booke of Moses / called in the Hebrue Bereschit : and in the latyn: Genesis.
Gen.33.10	To whom Iacob answered, oh nay, but yf I haue founde grace in thy syghte, receaue my present of my hande: for I haue sene thy face as though I had sene the face of God: And thou hast had a good wyll towarde me.
Gen.33.11	Oh take my blessynge that is brought the, for God hath had mercy on me. And I haue ynough. And so he compelled hym, and he toke it.
Gen.33.12	And he sayde: let vs take oure iourney and goo, I wyll goo before the.
Gen.33.13	Iacob answered him: my Lorde, Thou knowest, that the chyldren are tendre, Ꟶ the ewes Ꟶ kyne wyth yonge vnder myne hande, which yf men shulde ouerdryue but euen one daye all the shepe wyll dye.
Gen.33.14	Oh let my Lorde goo before hys seruaunte, and I wyll dryue fayre and softly, accordynge as the catell that goeth before me and the chyldren be able to endure: vntyll I come to my Lorde vnto Seir.
Gen.33.15	And Esau sayde: let me yet leaue some of my folke with the. And he answered, what neadeth it? let me fynde grace in the syghte of my Lord.
Gen.33.16	So Esau went hys waye agayne that same daye vnto Seir.
Gen.33.17	And Iacob toke hys iourney towarde Sucoth, and buylt hym an house, and made boothes for his catell. And therfore is it, that the name of the place is called Sucoth.
Gen.33.18	And Iacob came to Salem a cytie of Sichem which is in the lande of Canaan, after that he was come from Mesopotamia, and pytched before the cytie,
Gen.33.19	and bought a parcell of grounde (were he pytched hys tent) of the chyldren of Hemor Sichems father for an hundred peces of money.
Gen.33.20	And he made there an aulter, Ꟶ called vpon the myghtie God of Israel.
Gen.34.1	Dina the daughter of Lea which she bare vnto Iacob, went out to se the daughters of the lande.
Gen.34.2	Whom whan Sichem the sonne of Hemor the Heuite Lorde of the countrey sawe, he toke her, and laye with her, and forced her:
Gen.34.3	and hys harte laye vnto Dina the daughter of Iacob. And he loued that damsell and spake kyndly vnto her,
Gen.34.4	and Sichem spake vnto hys father Hemor sayinge, gett me thys mayden vnto my wyfe.
Gen.34.5	And Iacob hearde that he had defyled Dina hys daughter, hys sonnes beinge with theyr catell in the felde, and he helde hys peace, vntyll they were come.
Gen.34.6	And Hemor the father of Sichem went out vnto Iacob, to comen with hym.
Gen.34.7	And whan the sonnes of Iacob commynge out of the felde herde it, it greued them, Ꟶ they were not a lytle wrooth because he had wrought folye in Israel, in that he had lyen wyth Iacobs daughter, which thinge ought not to be done.
Gen.34.8	And Hemor commened with them sayinge: the soule of my sonne Sichem longeth for youre daughter: geue her hym to wyfe,
Gen.34.9	and make mariages with vs: and geue youre daughters vnto vs, and take oure daughters vnto you,
Gen.34.10	Ꟶ ye shall dwell wyth vs, and the lande shall be before you, dwell and do youre busynes and haue youre possessyons there in.
Gen.34.11	And Sichem sayde vnto hyr father and hyr brethren, let me fynde grace in youre eyes, and what soeuer ye apoynte me, that wyll I geue.
Gen.34.12	Axe frely of me both the dowry and giftes, and I wyll geue accordynge as ye saye vnto me, so that ye geue me the Damsell to wyfe.
Gen.34.13	But the sonnes of Iacob answered to Sichem Ꟶ Hemor hys father talkynge amonge them selues deceytefully, because he had defyled Dina theyr syster.
Gen.34.14	And they sayde vnto them, we can not do thys thynge that we shulde geue oure syster to one that is vncircumcysed, for that were a shame vnto vs.
Gen.34.15	But in thys wyll we consent vnto you? If ye wylbe as we be and all the men chyldren amonge you be circumcysed,
Gen.34.16	then wyll we geue oure daughters to you and take youre daughters to vs, and wyll dwell wyth you and be one people.
Gen.34.17	But and yf ye wyll not harken vnto vs to be circumcysed, than will we take oure daughter Ꟶ goo oure wayes.
Gen.34.18	Their wordes pleased Hemor: and Sichem hys sonne.
Gen.34.19	And the yonge man deferde not for to do the thynge, because he had a lust to Iacobs daughter: he was also most sett by of all that were in hys fathers house.
Gen.34.20	Than Hemor Ꟶ Sychem hys sonne went vnto the gate of their cytie, and comened with the men of their cytie, sayinge:
Gen.34.21	these men are vnfayned towarde vs, and dwell in the lande and do their occupacyon therin. And in the lande is rowme ynough for them, we wyll take their daughters to wyues, and geue them oure daughters:
Gen.34.22	only here in wyll they consent vnto vs for to dwell wyth vs Ꟶ to be one people: yf all the men chyldren that are amonge vs be circumcysed as they are.
Gen.34.23	Shall not their goodes and their substance and all theyr catell be oures, only yf we consente vnto them? For they wyll dwell with vs.
Gen.34.24	And vnto Hemor and Sichem his sonne harkened all that went out at the gate of hys cytie. And all the men chyldren were circumcised whatsoeuer went out at the gates of his cytie.
Gen.34.25	And it happened the thyrde daye (when it was paynefull to them) .ij. of the sonnes of Iacob Symeon and Leui Dinas brethren, toke ether of them his swerde and went in to the cytie boldly, and slewe all that was male,
Gen.34.26	and slewe also Hemor and Sichem hys sonne with the edge of the swerde, and toke Dina out of Sichems house, and went their waye.
Gen.34.27	And the sonnes of Iacob commynge vpon the deed, spoyled the cytie, because they had defyled their syster:
Gen.34.28	Ꟶ toke their shepe, oxen, and their asses and whatsoeuer was in the cytie and also in the feldes.
Gen.34.29	And all their goodes Ꟶ all their chyldren, and theyr wyues toke they captiue and made hauouck of all that was in the house.
Gen.34.30	But Iacob sayde to Simeon and Leui: ye haue troubled me and made me styncke before the inhabitours of the lande, before the Canaanyte and the Pherezite. And I beynge fewe in nombre, they shall gather them selues together agaynst me Ꟶ sley me, and so shall I and my house be destroyed.
Gen.34.31	And they answered: shulde they deale with oure syster as with an whoore.
Gen.35.1	And God sayde vnto Iacob, aryse and get the vp to Bethel, and dwell there. And make there an aulter vnto God that apeared vnto the, when thou fleddest from the face of Esau thy brother.
Gen.35.2	Than sayde Iacob vnto hys housholde and to all that were wyth hym: put awaye the straunge goddes that are amonge you and be cleane, and chaunge youre garmentes,
Gen.35.3	for we wyll aryse and goo vp to Bethell and I wyll make an aulter there, vnto God, which herde me in the daye of my tribulacyon, and was with me in the waye which I went.
Gen.35.4	And they gaue vnto Iacob all the straunge goddes which they had in their hande, and all their earinges which were in their eares, Ꟶ Iacob hyd them vnder an ooke whych was by Sichem.
Gen.35.5	And whan they departed, the feare of God fell vpon the cyties that were rounde aboute them. And they dyd not folowe after the sonnes of Iacob.
Gen.35.6	So came Iacob to Lus which is in the lande of Canaan. The same is Bethell, he Ꟶ all the people that was with him.
Gen.35.7	And he buylded there an aulter, and called the place: The God of Bethell, because that God appered vnto hym there, when he fled from the face of his brother.
Gen.35.8	But Debora Rebeccas norse, dyed, Ꟶ was buryed beneth Bethell vnder an ooke. And the name of it was called: the ooke of lamentacyon.
Gen.35.9	And God appeared vnto Iacob agayne after he came out of Mesopotamia and blessed hym,
Gen.35.10	and God sayde vnto him: thy name is Iacob. Notwythstondinge thou shalt be no more called Iacob, but Israel shalbe thy name. And he called hys name Israel.
Gen.35.11	And God sayde vnto him: I am God allmyghtye, growe and multiplye, people and a multitude of people shall sprynge of the, yee and kynges shall come out of thy loynes.
Gen.35.12	And the lande whych I gaue Abraham and Isahac, will I geue vnto the, and vnto thy seed after the will I geue that lande also:
Gen.35.13	And so God departed vp from hym in the place where he had talked wyth hym.
Gen.35.14	And Iacob set vp a marke in the place where he talked with hym: euen a marke of stone and powred dryncke offrynge theron, Ꟶ powred also oyle theron,
Gen.35.15	and Iacob called the name of the place where God spake with hym Bethell.
Gen.35.16	And they departed from Bethel, and when he was but a felde bredth from Ephrath, Rahel began to trauell, and in trauelynge she was in parell.
Gen.35.17	And it happened as she was in paynes of hyr laboure, the mydwyfe sayde vnto her, feare not, for thys sonne is thyne also.
Gen.35.18	Then as hyr soule was a departynge, that she must dye, she called his name. Ben Oni. But hys father called hym Ben Iamin.
Gen.35.19	And thus dyed Rahel and was buryed in the waye to Ephrath, which is Bethlehem.
Gen.35.20	And Iacob sett vp a stone vpon hir graue, which is called Rahels graue stone vnto thys daye.
Gen.35.21	And Israel went thence, Ꟶ pytched vp hys tent beyonde the toure of Eder.
Gen.35.22	And it chaunced as Israel dwelt in the lande, that Ruben went and laye wyth Bilha hys fathers concubyne, and it came to Israels eare. The sonnes of Iacob were .xij. in nombre.
Gen.35.23	The sonnes of Lea. Ruben Iacobs eldest sonne, and Simeon, Leui, Iuda, Isachar, and zabulon.
Gen.35.24	The sonnes of Rahel: Ioseph and Ben Iamin.
Gen.35.25	The sonnes of Bilha Rahels mayde: Dan and Neptali.
Gen.35.26	The sonnes of zilpha Leaes mayde, Gad and Aser. These are the sonnes of Iacob whych were borne hym in Mesopotamia.
Gen.35.27	And so Iacob came vnto Isahar hys father to Mamre vnto kyriath Arba which is Hebron: where Abraham Ꟶ Isahac soiourned as straungers.
Gen.35.28	And the dayes of Isahac were an hundred and .lxxx. yeres:
Gen.35.29	Ꟶ Isahac fell sycke and dyed, and was put vnto hys people, beynge olde and full of dayes. And his sonnes Esau and Iacob buryed him.
Gen.36.1	These are the generacyons of Esau. The same is Edom.
Gen.36.2	Esau toke his wyues of the daughters of Canaan. Ada the daughter of Elon an Hethite, Ꟶ Ahalibama the daughter of Ana, the daughter of zibeon an Heuyte,
Gen.36.3	and Basmath Ismaels daughter Ꟶ sister of Nebaioth.
Gen.36.4	And Ada bare vnto Esau, Eliphas: and Basmath bare Reguel:
Gen.36.5	And Ahalibama bare Ieus and Iaelan and Korah. These are the sonnes of Esau whych were borne him in the lande of Canaan.
Gen.36.6	And Esau toke his wyues and hys sonnes and daughters and all the soules of hys house: hys goodes and all hys cattell and all hys substance whych he had gott in the lande of Canaan, and went into a countre awaye from the face of hys brother Iacob:
Gen.36.7	for their ryches was moche, and they coulde not dwell together, and the lande where in they were straungers, coulde not receaue them: because of their possession.
Gen.36.8	Thus dwelt Esau in mounte Seir. The same Esau is Edom.
Gen.36.9	These are the generacyons of Esau father of the Edomites in mounte Seir,
Gen.36.10	and these are the names of Esaus sonnes: Eliphas the sonne of Ada the wyfe of Esau, and Reguel the sonne of Basmath the wyfe of Esau.
Gen.36.11	And the sonnes of Eliphas were: Theman, Omar, zepho, Gaethom and Kenas.
Gen.36.12	And Thimna was concubyne to Eliphas Esaus sonne, and bare vnto Eliphas Amalech. And these be the sonnes of Ada Esaus wyfe.
Gen.36.13	And these are the sonnes of Reguel: Nahath, Serah, Samma and Misa, these were the sonnes of Basmath Esaus wyfe.
Gen.36.14	And these were the sonnes of Ahalibama the daughter of Ana daughter of zebion Esaus wyfe, and she bare vnto Esau: Ieus, Iealam and Korah.
Gen.36.15	These were dukes of the sonnes of Esau. The chyldren of Eliphas the fyrst sonne of Esau, were these: duke theman, duke Omar, duke zepho, duke Kenas,
Gen.36.16	and duke Korah, duke Gaetham and duke Amalech. These are the dukes that came of Eliphas in the lande of Edom, and these were the sonnes of Ada.
Gen.36.17	These also are the chyldren of Reguel Esaus sonne: duke Nahath, duke Serah, duke Samma, duke Misa. These are the dukes that came of Reguel in the lande of Edom, Ꟶ these are the sonnes of Basmath Esaus wyfe.
Gen.36.18	These were the chyldren of Ahalibama Esaus wyfe: duke Ieus, duke Gaelan, duke Korah, these dukes came of Ahalibama the daughter of Ana Esaus wyfe.
Gen.36.19	These are the chyldren of Esau, and these are the dukes of them which Esau is Edom.
Gen.36.20	These are the chyldren of Seir the Horite, the inhabitoure of the lande: Lothan, Sobal, zibeon, and Ana,
Gen.36.21	and Dison, Esar and Disan. These also are the dukes of the Horites the chyldren of Seir in the lande of Edom.
Gen.36.22	And the chyldren of Lothan were: Hori and Heman. And Lothaus syster was called Thymna.
Gen.36.23	The chyldren of Sobal were these: Aluan, Manahath and Ebal, Sepho Ꟶ Onan.
Gen.36.24	These are the chyldren of zibeon. Aia and Ana, thys was that Ana that founde mules in the wyldernes, as he fed hys father zibeons asses.
Gen.36.25	The chyldren of Ana were these. Dison and Ahalibama the daughter of Ana.
Gen.36.26	These are the chyldren of Dison, Hemdan and Esban, Iethran and Cheran.
Gen.36.27	The chyldren of Ezer are these: Bilhan, Seauan and Akan.
Gen.36.28	The chyldren of Disan also are these: Uz and Iran.
Gen.36.29	These are the dukes that came of Hori: duke Lothan, duke Sobal, duke zibeon, duke Ana,
Gen.36.30	duke Dison, duke Ezer, duke Disan. These be the dukes that came of Hory after their duke domes in the lande of Seir.
Gen.36.31	These are the kynges that reygned in the lande of Edom before there raygned any kynge vpon the chyldren of Israel.
Gen.36.32	Bela the sonne of Beor reygned in Edomea, Ꟶ the name of hys cytie was Dinhaba.
Gen.36.33	And when Bela dyed, Iobab the sonne of Serah out of Bozra, reygned in hys steade.
Gen.36.34	When Iobab also was dead, Husam of the lande of Themany reygned in his steade.
Gen.36.35	And after the deth of Husam, Hadad the sonne of Bedad which slewe the Madianytes in the felde of the Moabytes, reygned in hys steade, and the name of hys cytie was Auith.
Gen.36.36	When Hadad was dead, Samla of Masteka reygned in his steade.
Gen.36.37	When Samla was dead, Saul of the ryuer Reboboth reygned in hys steade.
Gen.36.38	When Saul was dead, Baal Hanan the sonne of Achbor reygned in his steade.
Gen.36.39	And after the deth of Baal Hanan the sonne of Achbor, Hadad reygned in his steade, and the name of his cytie was Pahu. And hys wyfes name Mehetabeel the daughter of Matred, the daughter of Mesaab.
