Isa.0.0	¶ The booke of the prophete Esay
Isa.43.10	You are my witnesses (sayth the Lorde) and my seruaunt, whom I haue chosen: therfore be certified and geue me faithfull credence: and consydre, that I am he, before whom there was neuer any God, and that ther shalbe none after me.
Isa.43.11	I am euen, I am the only Lorde and beside me ther is no Sauioure.
Isa.43.12	I gaue warninge, I made whole I taught you when there was no straunge God amonge you. And this recorde must ye beare me youre selues, (sayth the Lord) that I am God.
Isa.43.13	And euen he am I from the begynnynge, and there is none that can take any thynge out of my hande. I do the worke and who shall be able to let it.
Isa.43.14	Thus sayeth the Lorde the holy one of Israel youre redemer: for youre sake I haue sent to Babylon, and brought downe the strongest of them. All they are fugityue with the Chaldees that boost them of theyr shyppes:
Isa.43.15	Euen I the Lorde youre holy one which haue made Israel, and am youre kynge.
Isa.43.16	Thus sayeth the Lorde (euen he that maketh a waye in the see, Ꟶ a footpath in the myghty waters:)
Isa.43.17	which bringeth forth the charettes Ꟶ horses, the hoste Ꟶ the power of warre, that they may fall and neuer ryse, and be extincte, lyke as towe is quenched.
Isa.43.18	Remembre not thynges of olde, and regarde nothinge that is past.
Isa.43.19	Beholde I shall make a newe thynge, and shortly shall it appeare, Ꟶ shall you not knowe it? I wyll make stretes in the deserte, and ryuers of water in the wyldernes:
Isa.43.20	The wylde beastes shall worshyppe me: the dragons, and the yonge Estriches. For I shall geue water in the wyldernes, and streames in the desert: that may geue drincke to my people, whom I chose.
Isa.43.21	Thys people haue I made for my self, and they shall shewe forth my prayse.
Isa.43.22	For thou (Iacob) woldest not call vpon me, but thou haddest an vnlust towarde me, O Israel.
Isa.43.23	Thou gauest me not thy beastes for burntofferinges nether dydest honour me with thy sacrifyces. Thou boughtest me no deare spyce with thy money, nether pouredest the fat of thy sacrifyces vpon me. Howbeit I haue not bene chargeable vnto the in offeringes, nether greuous in incense.
Isa.43.24	But thou hast laden me with thy synnes, Ꟶ weryed me with thyne vngodlynes.
Isa.43.25	Where as I yet, euen I am he onely, that for myne awne selfes sake do awaye thyne offences, and forget thy synnes: so that I will neuer thincke vpon them.
Isa.43.26	Put me now in remembraunce (for we wyll reason together) and shewe what thou hast for the, to make the ryghteous.
Isa.43.27	Thy fyrst father offended sore, and thy rulers haue synned agaynst me.
Isa.43.28	Therfore I ether suspended, or slue the chefest prynces. I dyd curse Iacob, and gaue Israel into reprofe.
Isa.44.1	So heare nowe, O Iacob my seruaunt, and Israel whom I haue chosen.
Isa.44.2	For thus sayth the Lord, that made the, fashyoned the, and helped the, euen from thy mothers wombe. Be not afrayed, O Iacob my seruaunt, thou ryghteous, whom I haue chosen.
Isa.44.3	For I shall powre water vpon the drye grounde, Ꟶ ryuers vpon the thurstye. I shall poure my sprete vpon thy sede, and myne encrease vpon thy stock.
Isa.44.4	They shall growe together, lyke as the grasse, and as the wyllowes by the waters syde.
Isa.44.5	One shall saye: I am the Lordes. Another shall call hym selfe after the name of Iacob. The thyrde shall subscribe with hys hande vnto the Lorde, and geue him self vnder the name of Israel.
Isa.44.6	Thus hath the Lorde spoken: euen the Kynge of Israel, and his redemer, the Lorde of Hostes: I am the fyrst and the last, and without me is there no God.
Isa.44.7	Yf any be lyke me, lett hym call forth the thynge paste and openly shewe it, and laye it playne before me what hath chaunsed synce I apoynted the people of the worlde, and what shall be shortly or what shall come to passe, in tyme longe to come, let them shewe thes thynges.
Isa.44.8	Be not abashed nor afrayde. For haue not I euer tolde you hytherto, and warned you? Ye can beare me recorde youre selues. Is there any God excepte me? or any maker, that I shulde not knowe hym?
Isa.44.9	All caruers of Images are but vayne, Ꟶ the carued ymages that they loue, can do no good. They must beare recorde them selues, that (seynge they can nether se ner vnderstande) they shalbe confounded.
Isa.44.10	Who darre them make a God, or fashyon an ymage, that is profytable for nothynge?
Isa.44.11	Beholde, all the felowshyppe of them must be brought to confusyon. And truly all the worke masters of them ar men, they shall all be gathered to gyther, they shall stande, tremble, and be confounded one with a nother.
Isa.44.12	The smith maketh an axe, and tempereth it with hoate coales, and fashyoneth it with hammers, and worketh wt it with all the strength of hys armes: yee, sometyme he is faynt for very hunger, and so thurstye, that he hath no more power.
Isa.44.13	The carpenter (or ymage caruer) taketh measure of the tymbre: and spredeth forth his lyne: he marketh it with some coloure. he playneth it, he ruleth it, and squareth it, and maketh it after the ymage of a man, and according to the bewty of a man: that it maye stande in the temple.
Isa.44.14	Moreouer, he goeth oute to hewe downe Cedre trees. He bryngeth home Elmes and Okes: and takynge a bolde corage, he seketh out the best tymbre of the wodde. He him selfe hath planted a pyne tree, which the rayne hath swelled,
Isa.44.15	which wodd serueth for men to burne. Of this he taketh and warmeth hym selfe withall: he maketh afyre of it to bake breade. And afterwarde maketh a God there of, to honoure it: Ꟶ an Idole to knele before it.
Isa.44.16	One pece he burneth in the fyre, with another he rosteth flesh, that he maye eate roste his bely full: with the thryde he warmeth him self, and sayeth: Aha, I am well warmed, I haue bene at the fyre.
Isa.44.17	And of the residue he maketh him a God, Ꟶ an Idole for him selfe. He kneleth before it, he worshippeth it, he prayeth vnto it, Ꟶ sayeth: delyuer me, for thou art my God.
Isa.44.18	Yet men nether consydre ner vnderstande, because theyr eyes are stopped, that they cannot se: and their hertes, that they cannot perceaue.
Isa.44.19	They pondre not in theyr myndes, for they haue nether knowledge ner vnderstandynge, to thincke thus. I haue brent one pece in the fyre. I haue baked bread with the coles there of, I haue rosted flesh with all, Ꟶ eaten it: shall I nowe of the resydue make an abhominable Idole, and fall downe before a rotten pece of wood?
Isa.44.20	Thus he doth but lese hys laboure, and hys herte which is disceaued, doth turne hym asyde: so that none of them can haue a fre conscience to thincke: maye not Ierre?
Isa.44.21	Consydre thys (O Iacob and Israel) for thou art my seruaunt. I haue made the, that thou myghtest serue me. O Israel, forget me not.
Isa.44.22	As for thyne offences, I haue dryuen them awaye lyke the cloudes, and thy synnes as the myst. Turne the agayne vnto me, for I haue redemed the.
Isa.44.23	Be glad ye heauens, whom the Lorde hath made for the Lorde hath dealte graciously wt hys people, let all that is here beneth vpon the earth, be ioyfull. Reioyse ye mountaynes and woddes, with all the trees therof: for the Lorde hath redemed Iacob, and wyll shewe hys glory vpon Israel.
Isa.44.24	Thus sayth the Lord thy redemer, euen he that fashyoned the from thy mothers wombe. I the Lorde, do all thynges my selfe alone. I only sprede out the heauens and I only haue layde the foundacyon of the earth by myn awne selfe.
Isa.44.25	I destroye the tokens of witches, and make the Sothsaiers fooles. As for the wyse, I turne them backwarde, and make theyr connyng folyshnesse.
Isa.44.26	He doth set vp the purpose of his seruaunte, and fulfylleth the councell of his messaungers Concernynge Ierusalem, he sayeth: It shalbe inhabited. And of the cyties of Iuda: They shalhe buylded agayne, and I will repayre theyr decayed places.
Isa.44.27	He sayeth to the grounde: be drye. And I will drye vp thy wader floudes.
Isa.44.28	He sayeth of Cyrus. He is myne herdman: so that he shall fulfyll all thynges after my will. He sayeth also of Ierusalem: It shall be buylded, and of the temple: It shalbe fast grounded.
Isa.45.1	Thus sayeth the Lord vnto Cyrus his anoynted whom I haue taken by the ryght hande, to subdue nations before him. I wyll lowse the gyrdle of kynges, Ꟶ I wyll open the gates before his face, and not to shut their dores.
Isa.45.2	I will go before the, and make the croked streyght, I shall breake the brasen dores, Ꟶ burst the yron barres.
Isa.45.3	I shall geue the the hyd treasures, Ꟶ the thynge which is secretly kept: that thou mayest knowe that I am the Lorde God of Israel which haue called the by thy name:
Isa.45.4	Ꟶ that for Iacob my seruauntes sake, Ꟶ for Israel my chosen. For I called the by thy name, and ordeyned the or euer thou knewest me.
Isa.45.5	Euen I the Lord before whom there is none other: for without me ther is no God. I haue prepared the or euer thou knewest me,
Isa.45.6	that I myght be knowne from the rysing of the sunne to the goynge downe of the same, that all is nothynge without me. For I am the Lorde, and there is els none.
Isa.45.7	It is I that created the lyght Ꟶ darcknes. I make peace and trouble: yee, euen I the Lorde do all these thinges.
Isa.45.8	Ye heauens from aboue droppe downe, Ꟶ let the cloudes rayne ryghteousnes. The earth open it selfe, and bringe forth health, that therby righteousnes maye florysh. Euen I the Lorde bringe it to passe.
Isa.45.9	Wo be vnto him that stryueth wt his maker, the potsherde with the potter. Sayeth the claye to the potter. What makest thou? or thy worke serueth for nothing?
Isa.45.10	Wo be vnto him that sayeth to hys father. Why begettest thou? And to his mother: why bearest thou?
Isa.45.11	Thus sayeth the Lorde, euen the holy one, Ꟶ maker of Israel. Aske me of thynges for to come, concernynge my sonnes: and put me in remembraunce, as touching the worckes of my handes:
Isa.45.12	I haue made the earth, and created man vpon it. With myne handes haue I spred forth heauen, and geuen a commaundement for all the hoost therof.
Isa.45.13	I shall wake him vp with ryghteousnes, and ordre all his wayes. He shall buylde my cytie, and let out my prisoners: Ꟶ that nether for gyft nor rewardes, sayeth the Lord of Hostes.
Isa.45.14	Thus sayeth the Lord. The occupiers of Egypt, the marchauntes of the Morians and Sabees, shall come vnto the with tribute, they shalbe thyne, they shall folowe the, and go with cheynes vpon their fete. They shall fall downe before the, and make supplicacyon vnto the. For God (without whom there is none other God) shalbe with the.
Isa.45.15	O howe profounde art thou O God, thou God and Sauioure of Israel?
Isa.45.16	Confounded are they all, and put to dishonoure: they are gone hence together with shame, euen the makers of ymages.
Isa.45.17	But Israel shalbe saued in the Lorde, which is the euerlastinge saluacyon. Ye shall not come to shame ner confusyon, worlde without ende.
Isa.45.18	For thus sayeth the Lord: euen he that created heauen, the God that made the earth, that fashyoned it, and sett it forth. He dyd not make it for naught, but to be enhabited. Euen I the Lorde, without whom there is none other.
Isa.45.19	I haue not spoken secretly, nether in darcke places of the earth. It is not for naught, that I sayde vnto the sede of Iacob: seke me. I am the Lorde, which when I speake, declareth the thing that is righteous Ꟶ true:
Isa.45.20	gather you Ꟶ come together, draw nie hyther, you that are escaped of the people. Haue they eny vnderstandynge, that set vp the stockes of theyr Idols, Ꟶ praye vnto a God, that cannot helpe them?
Isa.45.21	drawe nye, come hyther, and let them aske councell one at another and shewe forth. What is he, that tolde thys before? or, who spake of it, euer sence the begynning? Haue not I the Lord done it? wtout whom there is none other God? the true God and Sauioure, and ther is els none but I?
Isa.45.22	And therfore turne you vnto me (all ye endes of the earth) that ye maye be saued: for I am God, Ꟶ there is els none.
Isa.45.23	I sweare by my selfe: oute of my mouth commeth the word of ryghteousnesse, and that maye no man turne: but all knees shall bowe vnto me, and all tunges shall sweare by my name,
Isa.45.24	saying. Uerely, in the Lord is my ryghteousnes and strength. To him shal men come: but all they that thincke scorne of him, shalbe confounded.
Isa.45.25	And the whole sede of Israel shalbe iustified and make their boast in the Lorde.
Isa.46.1	Bell is fallen, Nabo is broken downe: whose ymages were a burthen for the beastes and catell, to ouerlade them, and to make them weery.
Isa.46.2	They are soncke downe, and fallen together: for they maye not ease them of theyr burthen, therfore must they go into captiuitie.
Isa.46.3	Herken vnto me, O house of Iacob, and all ye that remayne yet of the housholde of Israel: whom I haue borne from youre mothers wombe, and brought you vp from youre byrth, tyll ye were growen.
