Jer.0.0	¶ The boke of the prophete Ieremye.
Jer.36.21	So the kyng sent Iehudi to fetch him the boke which he brought out of Elysama the Scribes chambre. And Iehudi red in it, that the kynge and all the prynces, which were aboute him, myght heare.
Jer.36.22	Nowe the kynge sat in the wynter house, for it was in the .ix. Moneth Ꟶ there was a fyre before him.
Jer.36.23	And when Iehudi had redde thre or foure leaues therof, he cut the boke in peces with a penne knyfe, and cast it into the fyre vpon the harth, vntyll the boke was all brente in the fyre vpon the harth.
Jer.36.24	Yet no man was abashed therof, or rente his clothes: nether the kynge hym selfe, ner his seruauntes, though they hearde all these wordes.
Jer.36.25	Neuerthelesse Elnathan, Dalaiah, Ꟶ Gamariah besought the kynge, that he wolde not burne the boke: not withstandynge the kynge wolde not heare them,
Jer.36.26	but commaunded Ierahmael the sonne of Amalech, Saraiah the sonne of Ezriel Ꟶ Selamiah the sonne of Abdiel, to laye handes vpon Baruch the Scrybe, and vpon Ieremy the Prophete: but the Lorde kepte them out of syght.
Jer.36.27	After nowe that the kynge had brent the boke, Ꟶ the sermons which Baruch wrote at the mouth of Ieremy: The worde of the Lord came vnto Ieremye, sayinge.
Jer.36.28	Take another boke, and wryte in it all the forsayde sermons: that were wryten in the fyrst boke, which Iehoakim the kynge of Iuda hath brente.
Jer.36.29	And tell Iehoakim the kynge of Iuda: thus sayeth the Lorde: thou hast brente the boke, Ꟶ thoughtest within thy selfe. Why hast thou wryten therin, that the kynge of Babylon shall come, and make thys lande waste: so that he shall make both people and catell to be out of it?
Jer.36.30	Therfore thus the Lorde sayeth of Iehoakim the kyng of Iuda. There shall none of hys generacyon syt vpon the throne of Dauid. Hys deed corse shalbe cast oute, that the heate of the daye, and the frost of the nyght maye come vpon hym.
Jer.36.31	And I wyll vyset the wyckednes of hym, of his sede, Ꟶ of hys seruauntes, Moreouer, all the euell that I haue promysed them (though they herde me not) wyll I bringe vpon them, vpon the inhabitoures of Ierusalem, and vpon all Iuda.
Jer.36.32	Then toke Ieremy another boke, and gaue it Baruch the Scribe the sonne of Neriah, whiche wrote therin out of the mouth of Ieremy: all the sermons that were in the fyrst boke, which Iehoakim the kyng of Iuda dyd burne. And there were added vnto them many mo sermons, then before.
Jer.37.1	zedekiah the sonne of Iosiah which was made kynge thorowe Nabuchodonosor kynge of Babylon, reigned in the lande of Iuda, in the steade of Cononiah the sonne of Iehoakim.
Jer.37.2	But nether he, ner hys seruauntes, ner the people in the lande wolde obeye the wordes of the Lorde, which he spake by the Prophet Ieremy.
Jer.37.3	Neuerthelesse, zedekiah the kyng sent Iehucal the sonne of Selemiah Ꟶ Sophoniah the sonne of Maasiah the Prest to the Prophet Ieremy, saying: O praye thou vnto the Lorde oure God for vs
Jer.37.4	Nowe Ieremy walked fre amonge the people at that tyme, and was not put in preson as yet.
Jer.37.5	Pharaos hoste also was come out of Egypte: which when the Caldees that beseged Ierusalem perceaued, they departed from thence.
Jer.37.6	Then came the worde of the Lorde vnto Ieremy the Prophet, sayinge:
Jer.37.7	Thus sayeth the Lorde God of Israel, thys answere shall ye geue to the kynge of Iuda, that sent you vnto me for councell: Beholde, Pharaos hoste which is come forth to helpe you, shall returne to Egypte into his awne lande:
Jer.37.8	but the Caldees shall come agayne, and fyght agaynst thys cytie, wynne it, and sett fyre vpon it.
Jer.37.9	For thus sayeth the Lorde, disceaue not youre awne myndes, thynckinge on this maner: tush, the Caldees go now their waye from vs. No, they shall not go theyr waye.
Jer.37.10	For though ye had slayne the whole hoste of the Caldees, that besege you, and euery one of the slayne laye in his tente, yet shulde they stande vp, and set fyre vpon thys cyte.
Jer.37.11	Now when the hoste of the Caldees was broken vp from Ierusalem, for feare of the Egypcyans armye,
Jer.37.12	Ieremye went out of Ierusalem towarde the lande of BenIamin, to get hym from amonge the people.
Jer.37.13	And when he came vnder BenIamyns porte, there was a porter, called Ieriah, the sonne of Selemiah the sonne of Hananiah, which fell vpon him, and toke him sayinge: thy mynde is to runne to the Caldees.
Jer.37.14	Then sayde Ieremy: It is not so, I go not to the Caldees. Neuertheles, Ieriah wolde not beleue hym, but brought Ieremy bounde before the Princes.
Jer.37.15	Wherfore the princes were angrye with Ieremy, and smote him, and layed hym in preson in the house of Ionathas the scribe. For he was the rular of the preson.
Jer.37.16	Thus was Ieremy put into the dongeon and preson, and so laye there a longe tyme.
Jer.37.17	Then zedekiah the kyng sent for him, and called him, and asked hym quyetly in his awne house, sayinge: thynkest thou this busynes (that now is in hande) commeth of the Lorde? Ieremy answered: yee, that it doth: and thou (sayed he) shalt be delyuered into the kynge of Babylons power.
Jer.37.18	Moreouer, Ieremy sayde vnto kynge zedekiah. What haue I offended agaynst the, against thy seruauntes, or agaynst thys people, that ye haue put me in preson?
Jer.37.19	Where are youre prophetes which haue prophecyed vnto you, Ꟶ sayde, that the kynge of Babylon shulde not come agaynst you Ꟶ this lande?
Jer.37.20	And therfore heare nowe, O my Lorde the kynge: let my prayer be accepte before the, and sende me nomore into the house of Ionathas the Scrybe, that I dye not there.
Jer.37.21	Then zedekias the kynge commaunded to put Ieremy in the fore entrye of the preson, and dayly to be geuen hym a cake of bread out of the bakers streate vntyll all the bread in the cytie was eaten vp. Thus Ieremy remayned in the fore entry in the preson.
Jer.38.1	Saphatiah the sonne of Mathan, Godoliah the sonne of Phasphur, Iucal the sonne of Semeliah, and Phashur the sonne of Melchiah perceaued the wordes, that Ieremy had spoken vnto all the people, namely on thys maner:
Jer.38.2	Thus sayeth the Lord: Who so remayneth in thys cytie, shal perish, ether with the swearde, with honger or with the pestylence. But who so falleth vnto the Caldees, shall escape winnynge his soule for a praye, Ꟶ shall lyue.
Jer.38.3	For thus sayeth the Lorde: Thys cytie (no doute) must be delyuered into the power of the kynge of Babylon, and he also shall wynne it.
Jer.38.4	Then sayde the prynces vnto the kynge: Syr, we beseche you let thys man be put to death. For thus he discorageth the handes of the soudiers that be in thys cytie, and the handes of all the people, when he speaketh soche wordes vnto them. This man verely laboureth not for peace of the people, but myschefe.
Jer.38.5	zedekiah the kynge answered Ꟶ sayde: lo, he is in youre handes, for the kyng maye denye you nothinge.
Jer.38.6	Then toke they Ieremy, and cast hym into the dongeon of Melchiah the sonne of Hamelech, that dwelt in the fore entrie of the preson. And they lett downe Ieremy with coardes into a dongeon, where there was no water, but myre.
Jer.38.7	So Ieremy stack fast in the myre. Now when Abedmelech the Morian beynge a chamberlayne in the kynges courte, vnderstode, that they had cast Ieremy into the dongeon:
Jer.38.8	he went out of the kynges house, and spake to the kynge, (which then sat vnder the porte of BenIamin) these wordes:
Jer.38.9	My Lorde the kynge, where as these men medle with Ieremye the prophet, they do hym wronge: Namely, in that they haue put him in preson, there to dye of honger, for there is no more bread in the cytie.
Jer.38.10	Then the kynge commaunded Abedmelech the Morian and sayde: Take from hence .xxx. men whom thou wylt, Ꟶ drawe vp Ieremy the prophet out of the dongeon, before he dye.
Jer.38.11	So Abedmelech toke the men wt him, and went to the house of the kynge, and there vnder the treasurie gatt olde ragges Ꟶ worne cloutes, and lett them downe by a coarde, into the dongeon to Ieremy.
Jer.38.12	And Abedmelech the Morian sayde vnto the prophet Ieremy: O, put these ragges and cloutes vnder thyne arme holes, betwyxte them and the coardes: Ꟶ Ieremy dyd so.
Jer.38.13	So they drewe vp Ieremy with coardes Ꟶ toke him out of the dongeon, Ꟶ he remayned in the fore entrye of the preson.
Jer.38.14	Then zedekiah the kynge sent Ꟶ caused Ieremy the prophete to be called vnto him, into the thyrde entrye, that is in the house of the. Lord. And the kinge sayd vnto Ieremy: I will aske the somewhat but hyde nothynge fro me.
Jer.38.15	Then Ieremy answered zedekiah: Yf I be playne vnto the, thou wilt cause me to suffre death: If I geue the councell, thou wylt not folowe me.
Jer.38.16	So the king swore an ooth secretly vnto Ieremy, sayinge. As truly as the Lorde lyueth that made vs these soules, I wyll not slaye the, ner geue the into the handes of them that seke after thy lyfe.
Jer.38.17	Then sayde Ieremy vnto zedekiah. Thus sayeth the Lord of hoostes the God of Israel If case be, that thou wylt go forth vnto the kynge of Babylons prynces, thou shalt saue thy lyfe, and thys cytie shalt not be brent yee, both thou and thy housholde shall escape with youre lyues.
Jer.38.18	But yf thou wylt not go forth to the kynge of Babylons princes, then shall thys cytie be delyuered into the handes of the Caldees, which shall set fyre vpon it, and thou shalt not be able to escape them.
Jer.38.19	And zedekiah sayde vnto Ieremy. I am afrayde for the Iewes, that are fled vnto the Caldees, lest I come in theyr handes, and so they to haue me in derisyon.
Jer.38.20	But Ieremy answerde: No, they shall not betraye the: O herken vnto the voyce of the Lord (I beseche the) which I speake vnto the so shalt thou be well, and saue thy lyfe.
Jer.38.21	But yf thou wilt not go forth, the Lorde hath tolde me this playnely:
Jer.38.22	Beholde, all the wemen that are left in the kynge of Iudaes house, shalbe led forth out to the kynge of Babilons princes. And they shal saye, that thou art disceaued: and that they whom thou didest put thy trust, haue gotten the vnder, Ꟶ sett thy fete fast in the myre, and gone their waye from the.
Jer.38.23	Therfore all thy wyues with their chyldren shall they leade forth vnto the Caldees, and thou shalt not escape their handes, but shalt be the kyng of Babilons presoner, Ꟶ this cytie shalt thou cause to be brent.
Jer.38.24	Then sayde zedekiah vnto Ieremye: loke that no body knowe of these wordes, and thou shalt not dye.
Jer.38.25	But yf the princes perceaue, that I haue talked with the and come vnto the, saying: O speake, what sayde the king to the? hyde it not from vs, Ꟶ we wyll not put the to death. Tell vs (we praye the) what sayde the kynge to the?
Jer.38.26	Se thou geue them thys answere: I haue humbly besought the kynge, that he wyll lett me lye nomore in Iehonathans house, that I dye not there.
Jer.38.27	Then came all the princes vnto Ieremy, and asked hym. And he tolde them, after the maner as the kynge bad him. Then they helde theyr peace, and let hym alone for they perceaued nothinge.
Jer.38.28	So Ieremy abode styll in the fore entrie of the preson, vntyll the daye that Ierusalem was wonne.
Jer.39.1	Nowe when the cytie of Ierusalem was taken (for in the .ix. yeare of zedekiah Kynge of Iuda in the tenth Moneth, came Nabuchodonosor the king of Babylon Ꟶ all his hoste, and beseged Ierusalem Ꟶ foughte agenst it.
Jer.39.2	And in the .xi. yeare of zedekiah in the fourth Moneth the .ix. daye of the Moneth, he brake into the cytie.)
Jer.39.3	Then all the princes of the king of Babylon, came in, Ꟶ sat them downe vnder the porte: Neregel, Sarezer, Samgarnebo, Sarsachim, Rabsaris, Neregel, Sarezer, Rabmag, wt all the other princes of the Kynge of Babylon.
Jer.39.4	And when zedekiah the Kynge of Iuda with hys soudiers sawe them, they fled, and departed out of the cytie by nyght thorowe the kynges garden, Ꟶ thorowe the porte that is betwene the two walles, and so they wente towarde the wyldernesse.
Jer.39.5	But the Caldees Hoste folowed faste after them, and toke zedekiah in the felde of Iericho, and brought hym presoner to Nabuchodonosor the kynge of Babylon vnto Reblath, that lyeth in the land of Hemath where he gaue iudgement vpon him.
Jer.39.6	So the kyng of Babylon caused the chyldren of zedekiah and all the nobles of Iuda be slayne, before hys face at Reblath.
